spell_id	priority	skill_line_ids	name_en	rank_en	description_en	tooltip_en	name_zh	rank_zh	description_zh	tooltip_zh	notes
47797	all		War Golem Charge Credit								
47798	all		Summon Mummy Remnants								
47799	all		Charge War Golem								
47800	all		Boulder		You got bouldered.						
47801	all		Hurl Boulder		Hurls a massive boulder into the distance.						
47802	all		Tenacity 2								
47803	all		Passenger Proxy Test								
47804	all		Rune Test Spell	Rank 1	Empower your rune weapon, immediately activating one of each rune type.						
47805	all		Chains of Ice								
47806	all		Towering Rage		Increases attack power by $s1 for $d.	Increases attack power by $s1.					
47807	all		Healing Focus		Increases spell power by $s2 for $d.	Spell power increased by $s2.					
47808	spellbook	593	Shadow Bolt	Rank 12	Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.						
47809	spellbook	593	Shadow Bolt	Rank 13	Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.						
47810	spellbook	593	Immolate	Rank 10	Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.	$s1 Fire damage every $t1 seconds.					
47811	spellbook	593	Immolate	Rank 11	Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.	$s1 Fire damage every $t1 seconds.					
47812	spellbook	355	Corruption	Rank 9	Corrupts the target, causing $o1 Shadow damage over $d.	$s1 Shadow damage every $t1 seconds.					
47813	spellbook	355	Corruption	Rank 10	Corrupts the target, causing $o1 Shadow damage over $d.	$s1 Shadow damage every $t1 seconds.					
47814	spellbook	593	Searing Pain	Rank 9	Inflict searing pain on the enemy target, causing $s1 Fire damage.  Causes a high amount of threat.						
47815	spellbook	593	Searing Pain	Rank 10	Inflict searing pain on the enemy target, causing $s1 Fire damage.  Causes a high amount of threat.						
47816	all		Spell Power		Increases spell power by $s2 for $d.	Spell power increased by $s2.					
47817	spellbook	593	Rain of Fire	Rank 6	Calls down a fiery rain to burn enemies in the area of effect for ${$47817m1*4} Fire damage over $47819d.						
47818	spellbook	593	Rain of Fire	Rank 7	Calls down a fiery rain to burn enemies in the area of effect for ${$47818m1*4} Fire damage over $47820d.						
47819	spellbook	593	Rain of Fire	Rank 6	Calls down a fiery rain to burn enemies in the area of effect for ${$47817m1*4} Fire damage over $d.	$47818s1 Fire damage every $47817t1 seconds.					
47820	spellbook	593	Rain of Fire	Rank 7	Calls down a fiery rain to burn enemies in the area of effect for ${$47818m1*4} Fire damage over $47820d.	$47818s1 Fire damage every $47818t1 seconds.					
47821	all		Increased Mana Regen 43		Restores $s1 mana per 5 sec.						
47822	spellbook	593	Hellfire Effect	Rank 5	Ignites the area surrounding the caster, causing $47823s2 Fire damage to $ghimself:herself; and $47822s1 Fire damage to all nearby enemies every $47823t2 sec.  Lasts $47823d.						
47823	spellbook	593	Hellfire	Rank 5	Ignites the area surrounding the caster, causing $47823s2 Fire damage to $ghimself:herself; and $47822s1 Fire damage to all nearby enemies every $47823t2 sec.  Lasts $47823d.	Damages self and all nearby enemies.					
47824	spellbook	593	Soul Fire	Rank 5	Burn the enemy's soul, causing $s1 Fire damage.						
47825	spellbook	593	Soul Fire	Rank 6	Burn the enemy's soul, causing $s1 Fire damage.						
47826	spellbook	593	Shadowburn	Rank 9	Instantly blasts the target for $s2 Shadow damage.  If the target dies within $29341d of Shadowburn, and yields experience or honor, the caster gains a Soul Shard.						
47827	spellbook	593	Shadowburn	Rank 10	Instantly blasts the target for $s2 Shadow damage.  If the target dies within $29341d of Shadowburn, and yields experience or honor, the caster gains a Soul Shard.						
47831	all		Seed of Corruption	Rank 2							
47832	all		Seed of Corruption	Rank 3							
47833	spellbook	355	Seed of Corruption	Rank 2	Imbeds a demon seed in the enemy target, causing $47835o1 Shadow damage over $47835d.  When the target takes $47835s2 total damage or dies, the seed will inflict $47833s1 Shadow damage to all enemies within $47833a1 yards of the target.  Only one Corruption spell per Warlock can be active on any one target.						
47834	spellbook	355	Seed of Corruption	Rank 3	Imbeds a demon seed in the enemy target, causing $47836o1 Shadow damage over $47836d.  When the target takes $47836s2 total damage or dies, the seed will inflict $47834s1 Shadow damage to all enemies within $47834a1 yards of the target.  Only one Corruption spell per Warlock can be active on any one target.						
47835	spellbook	355	Seed of Corruption	Rank 2	Imbeds a demon seed in the enemy target, causing $47835o1 Shadow damage over $47835d.  When the target takes $47835s2 total damage or dies, the seed will inflict $47833s1 Shadow damage to all enemies within $47833a1 yards of the target.  Only one Corruption spell per Warlock can be active on any one target.	Causes $s1 Shadow damage every $t1 sec.  After taking $s2 total damage or dying, Seed of Corruption deals $47833s1 Shadow damage to the caster's enemies within $47833a1 yards.					
47836	spellbook	355	Seed of Corruption	Rank 3	Imbeds a demon seed in the enemy target, causing $47836o1 Shadow damage over $47836d.  When the target takes $47836s2 total damage or dies, the seed will inflict $47834s1 Shadow damage to all enemies within $47834a1 yards of the target.  Only one Corruption spell per Warlock can be active on any one target.	Causes $s1 Shadow damage every $t1 sec.  After taking $s2 total damage or dying, Seed of Corruption deals $47834s1 Shadow damage to the caster's enemies within $47834a1 yards.					
47837	spellbook	593	Incinerate	Rank 3	Deals $s1 Fire damage to your target and an additional $/4;s1 Fire damage if the target is affected by an Immolate spell.						
47838	spellbook	593	Incinerate	Rank 4	Deals $s1 Fire damage to your target and an additional $/4;s1 Fire damage if the target is affected by an Immolate spell.						
47839	all		Warsong Land Mine								
47840	all		Cosmetic - Purple Ghost Aura								
