name_en	name_zh
Master Demonologist	恶魔学识大师
Penance	苦修
Molten Blast	熔岩冲击
Blood Gorged	血爆
Arcane Blast	奥术冲击
Unleashed Rage	释放怒火
Shadow Embrace	暗影之拥
Master Tactician	战术大师
Typhoon	台风
Judgements of the Pure	纯净的审判
Water Shield	水之护盾
Gore	尖角冲撞
Ferocious Bite	凶猛撕咬
Bloodthirst	嗜血
Shield Slam	盾牌猛击
Vitality	活力
Find Weakness	找出弱点
Misery	痛苦
Plague Strike	瘟疫打击
Death Strike	死亡缠绕
Blood Strike	鲜血打击
Seal of Righteousness	正义圣印
Snap	啃咬
Overgrowth	滋长
Holy Shield	神圣之盾
Spell Warding	法术防护
Gift of the Naaru	纳鲁之赐
Shadowfury	暗影之怒
Ferocious Inspiration	凶猛灵感
Circle of Healing	治疗之环
Crusader Strike	十字军打击
Arcane Barrage	奥术弹幕
Frost Strike	冰霜打击
Revive	苏醒
Radiance	光辉
Conjure Weapon	魔法武器
Hammer of Wrath	愤怒之锤
Lightning Breath	闪电吐息
Jewelcrafting	珠宝加工
Seed of Corruption	腐蚀之种
Blessed Recovery	神圣恢复
Elemental Devastation	元素浩劫
Elemental Precision	元素精准
Magic Absorption	魔法吸收
Unstable Affliction	不稳定的痛苦
Molten Armor	熔岩护甲
Focused Mind	专注意志
Dragon's Breath	龙息术
Reflective Shield	反射之盾
Vampiric Touch	吸血鬼之触
Chastise	惩戒
Missile Barrage	飞弹弹幕
Fiery Payback	烈焰回击
Burnout	燃尽
Living Bomb	活动炸弹
Focused Will	专注意志
Inscription	铭文
Icy Touch	冰冷触摸
Demonic Pact	恶魔契约
Metamorphosis	恶魔变形
Bloody Vengeance	血腥复仇
On a Pale Horse	白马骑士
Corpse Explosion	尸体爆炸
Will of the Necropolis	亡灵天灾之意志
Earthliving Weapon	大地生命武器
Heart Strike	心脏打击
Serendipity	天降好运
Strike	打击
Frenzied Regeneration	狂暴回复
Intuition	直觉
Screech	尖啸
