name_en	name_zh
Large Blue Rocket Cluster	大型蓝色火箭束
Large Green Rocket	大型绿色火箭
Large Green Rocket Cluster	大型绿色火箭束
Large Red Rocket	大型红色火箭
Large Red Rocket Cluster	大型红色火箭束
Last Week's Mammoth	上周的猛犸象
Lava Boots	熔岩长靴
Lava Bracers	熔岩护腕
Lava Chestguard	熔岩胸甲
Lava Gauntlets	熔岩护手
Lava Helm	熔岩头盔
Lava Leggings	熔岩护腿
Lavaforged Warhammer	熔岩锻造战锤
Leather Armor Components	皮甲组件
Leather Chestguard of the Sun	太阳皮质胸甲
Leather Gauntlets of the Sun	太阳皮质护手
Leatherworker's Satchel	制皮者的背包
Leggings of Dazzling Light	炫目之光护腿
Leggings of Visceral Strikes	内脏打击护腿
Leggings of Woven Death	编织死亡护腿
Legplates of Conquest	征服腿铠
Legplates of Painful Death	痛苦死亡腿铠
Legwraps of Unleashed Nature	释放自然绑腿
Lesser Flask of Resistance	次级抗性精炼药剂
Lesser Flask of Toughness	次级坚韧精炼药剂
Lesser Nether Wand	次级虚空魔杖
Lesser Rune of Warding	次级守护符文
Lesser Ward of Shielding	次级护盾结界
Lesson of the Doom Lord	末日领主的教训
Ley-Stabilized Arcane Reflector	灵脉稳定奥术反射器
Libram	圣契
Lifeblood Belt	命血腰带
Lifeblood Bracers	命血护腕
Lifeblood Leggings	命血护腿
Light Blessed Mittens	圣光祝福手套
Light Obsidian Belt	轻型黑曜石腰带
Lightning Etched Specs	闪电蚀刻护目镜
Lightning Grounded Boots	接地闪电长靴
Lightning-Infused Leggings	灌注闪电护腿
Lightweave Leggings	光纹护腿
Lion's Ink	狮子墨水
Lionheart Blade	狮心之刃
Lionheart Champion	狮心勇士
Lionheart Executioner	狮心处刑者
Living Cloak	活化披风
Living Crystal Breastplate	活化水晶胸甲
Living Dragonscale Helm	活化龙鳞头盔
Living Earth Bindings	活化大地束带
Living Earth Shoulders	活化大地护肩
Living Helm	活化头盔
Living Replicator Specs	活化复制者护目镜
Living Ruby Pendant	活化红宝石坠饰
Lizard King's Hide	蜥蜴王之皮
Lobster Roll	龙虾卷
Loop of Forged Power	锻造之力指环
Lucent Ametrine	透明紫黄晶
Lucent Huge Citrine	透明巨型黄水晶
Lucent Monarch Topaz	透明帝王黄玉
Luminous Ametrine	明亮紫黄晶
Luminous Flame Spessarite	明亮火焰锰铝榴石
Luminous Huge Citrine	明亮巨型黄水晶
Luminous Monarch Topaz	明亮帝王黄玉
Luminous Noble Topaz	明亮贵族黄玉
Luminous Pyrestone	明亮焰石
Lunar Crescent	月牙
Lustrous Azure Moonstone	润泽碧蓝月亮石
Lustrous Chalcedony	润泽玉髓
Lustrous Dragon's Eye	润泽龙眼石
Lustrous Empyrean Sapphire	润泽苍穹蓝宝石
Lustrous Majestic Zircon	润泽帝王锆石
Lustrous Sky Sapphire	润泽天蓝宝石
Lustrous Star of Elune	润泽月神之星
Lynx Steak	山猫肉排
MOLL-E	邮递机器人
Mad Alchemist's Potion	疯狂炼金师药水
Maelstrom Ready!	漩涡就绪！
Magical Components	魔法组件
Magister's Armor Kit	博学者护甲片
Magnified Moon Specs	放大月亮护目镜
Mail Armor Components	锁甲组件
Major Arcane Protection Potion	强效奥术防护药水
Major Dreamless Sleep Potion	强效无梦睡眠药水
Major Fire Protection Potion	强效火焰防护药水
Major Frost Protection Potion	强效冰霜防护药水
Major Holy Protection Potion	强效神圣防护药水
Major Nature Protection Potion	强效自然防护药水
Major Shadow Protection Potion	强效暗影防护药水
Malachite Pendant	孔雀石坠饰
Malistar's Revenge	玛利斯塔的复仇
Mammoth Cutters	猛犸切割者
Mammoth Meal	猛犸大餐
Mammoth Mining Bag	猛犸矿石袋
Mana Injector Kit	法力注射器套件
Mana Potion Injector	法力药水注射器
Manaweave Cloak	法力纹披风
Mantle of Nimble Thought	灵巧思维披肩
Manual of Clouds	云之手册
Mayhem Projection Goggles	混乱投射护目镜
Mechanized Snow Goggles	机械化雪地护目镜
Mega Mammoth Meal	超级猛犸大餐
Mercurial Adamantite	水银精金
Mercurial Alchemist Stone	水银炼金石
Mercurial Stone	水银之石
Metal Armor Components	金属护甲组件
Midnight Ink	午夜墨水
Mighty Alchemist Stone	强力炼金石
Mighty Arcane Protection Potion	极效奥术防护药水
Mighty Fire Protection Potion	极效火焰防护药水
Mighty Frost Protection Potion	极效冰霜防护药水
Mighty Nature Protection Potion	极效自然防护药水
Mighty Rhino Dogs	强力犀牛热狗
Mighty Shadow Protection Potion	极效暗影防护药水
Misty Dark Jade	朦胧暗玉
Misty Eye of Zul	朦胧祖尔之眼
Misty Forest Emerald	朦胧森林翡翠
Mithril Filigree	秘银丝
Mok'Nathal Shortribs	莫克纳萨尔短肋排
Molten Skullfish	熔火骷髅鱼
