tooltip_en	spell_ids	tooltip_zh
死亡之触	5	
You are currently worth no honor points to the enemy.	2479	
dmg7	19901	
Chance to proc frenzy.	20784	
Damage taken reduced by up to $s1 and blocked melee attacks cause $s2 Holy damage to the attacker.	20911,20912,20913,20914,25899,27169	
Block chance increased by $s1%.  $s2 Holy damage dealt to attacker when blocked.  Damage caused by Holy Shield causes 35% additional threat.  $n charges.	20925,20927,20928,27179	
Stamina increased by $s1.	21562,21564	
All damage taken is reduced by $s2%.  While protected, damaging attacks will not cause spellcasting delays.	22812	
Converting rage into health.	22842,22895,22896,26999	
Increases Fire damage taken by $s1%.	22959	
Reduces threat caused by $s1%.	23759,23826,23827,23828,23829	
Reduces physical damage taken by $s1%.	23760,23841,23842,23843,23844	
Increases damage caused by $s1%.	23761,23833,23834,23835,23836	
Increases resistance to all magic schools by $s1.	23762,23837,23838,23839,23840	
Successful melee attacks restore $23880s1 health.	23885	
Reflects the next spell cast on you.	23920	
$s1 Nature damage every $t1 seconds.	24131,24134,24135,27069,49009,49010	
$s2 mana per 5 sec.  Attacks and spells used against you restore $23575s1 mana.  $n charges.	24398	
Melee attack power reduced by $s2.	24423,24577,24578,24579,27051	
Stealthed.\nMovement speed slowed by $s2%.	24450,24452,24453	
$s2 Nature damage every $t2 sec.	24583,24586,24587,24640,27060	
Extra $s1 damage on your next Physical attack.	24597,24603,24604,24605	
Immune to Polymorph effects.\nArmor contribution from items is increased by $24905s1%.\nAttack power increased by 150% of your level.\nSpell critical chance increased by $24907s3%.\nMost melee attacks have a chance on hit to regenerate mana based on attack power.	24858	
Increases spell critical chance by $s1%.	24907,51466,51470	
Movement slowed to $s2% of normal speed.	25212	
Attack speed reduced by $s2%.	25264,47501,47502	
Increases Spirit by $M1.	25312,48073	
Movement speed slowed to $s2% of normal.	25387	
Increases Stamina by $w1.	25392	
Anti-magic energy will burn $25440s1 of the attacker's Mana, causing 1 Shadow damage for each point of Mana burned.	25441	
Movement slowed to $s1% of normal speed.	25464,49235,49236	
Causes $26371s1 Nature damage to attacker on hit.  $n charges.	25469	
Causes $26372s1 Nature damage to attacker on hit.  $n charges.	25472	
Increases the threat generated by your Holy spells by $s1%.	25780	
Damage reduced by $s1% and time between attacks increased by $s2%.	26064	
Dodge chance increased by $s1% and chance ranged attacks hit you reduced by $s2%.	26669,86489	
