spell_id	priority	skill_line_ids	name_en	rank_en	description_en	tooltip_en	name_zh	rank_zh	description_zh	tooltip_zh	notes
5	spellbook	769	Death Touch		Instantly Kills the target.  I hope you feel good about yourself now.....	死亡之触	死亡之触		立即杀死目标。希望你现在感觉良好……	死亡之触	
10	spellbook	6	Blizzard	Rank 1	Ice shards pelt the target area doing ${$42208m1*8} Frost damage over $d.	$42208s1 Frost damage every $42208t1 $lsecond:seconds;.	暴风雪	等级 1	冰雹从天而降，击中目标区域，在$d内造成${$42208m1*8}点冰霜伤害。	在$42208t1 $l秒:秒;内每秒造成$42208s1点冰霜伤害。	
17	spellbook	613	Power Word: Shield	Rank 1	Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.	Absorbs damage.	真言术：盾	等级 1	利用队友的灵魂为其施加护盾，吸收$s1点伤害，持续$d。只要护盾存在，施法就不会被伤害打断。一旦获得了护盾，该目标在$6788d内无法再次获得护盾。	吸收伤害。	
53	spellbook	38	Backstab	Rank 1	Backstab the target, causing $s2% weapon damage plus 15 to the target.  Must be behind the target.  Requires a dagger in the main hand.  Awards $s3 combo $lpoint:points;.		背刺	等级 1	背刺目标，造成150%武器伤害再加15点额外伤害。必须在目标背后发动。主手必须装备匕首。奖励1个连击点。		
66	spellbook	237	Invisibility		Fades the caster to invisibility over 5 sec, reducing threat each second.  The effect is cancelled if you perform or receive any actions.  While invisible, you can only see other invisible targets and those whom can see invisible.  Lasts $32612d.	Fading.	隐形术		使施法者在5秒内逐渐隐形，每秒降低威胁值。如果你执行或受到任何动作，该效果就会取消。在隐形状态下，你只能看到其他隐形的目标以及那些能够看到隐形的目标。持续$32612d。	正在消失。	
67	spellbook	184	Vindication	Rank 1		All attributes reduced by $s1%.	辩护	等级 1		所有属性降低$s1%。	
71	spellbook	257	Defensive Stance		A defensive combat stance.  Decreases damage taken by $7376s1% and damage caused by $7376s2%.  Increases threat generated.		防御姿态		防御性战斗姿态。使受到的伤害降低$7376s1%，造成的伤害降低$7376s2%。增加产生的威胁值。		
72	spellbook	257	Shield Bash	Rank 1	Bashes the target with your shield for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.		盾击	等级 1	用你的盾牌猛击目标，造成$s2点伤害。它还会打断施法，并使其在$d内无法施放该系的任何法术。		
75	spellbook	163	Auto Shot		Automatically shoots the target until cancelled.	Firing at the target.	自动射击		自动射击目标，直到取消。	向目标开火。	
78	spellbook	26	Heroic Strike	Rank 1	A strong attack that increases melee damage by $s1 and causes a high amount of threat.		英勇打击	等级 1	强力的攻击，使近战伤害提高$s1点，并产生大量威胁值。		
81	spellbook	95	Dodge	Passive	Gives a chance to dodge enemy melee attacks.		躲闪	被动	使你有机会躲避敌人的近战攻击。		
99	spellbook	134	Demoralizing Roar	Rank 1	The druid roars, decreasing nearby enemies' melee attack power by $s1.  Lasts $d.	Decreases melee attack power by $s1.	挫志咆哮	等级 1	德鲁伊发出咆哮，使附近敌人的近战攻击强度降低$s1点。持续$d。	近战攻击强度降低$s1点。	
100	spellbook	26	Charge	Rank 1	Charge an enemy, generate $/10;s2 rage, and stun it for $7922d.  Cannot be used in combat.		冲锋	等级 1	向敌人冲锋，产生$/10;s2点怒气，并使其昏迷$7922d。不能在战斗中使用。		
107	spellbook	95	Block	Passive	Gives a chance to block enemy melee and ranged attacks.		格挡	被动	使你有机会格挡敌人的近战和远程攻击。		
116	spellbook	6	Frostbolt	Rank 1	Launches a bolt of frost at the enemy, causing $s2 Frost damage and slowing movement speed by $s1% for $d.	Movement slowed by $s1%.	寒冰箭	等级 1	向敌人发射一枚寒冰箭，造成$s2点冰霜伤害，并使其移动速度降低$s1%，持续$d。	移动速度降低$s1%。	
118	spellbook	237	Polymorph	Rank 1	Transforms the enemy into a sheep, forcing it to wander around for up to $d.  While wandering, the sheep cannot attack or cast spells but will regenerate very quickly.  Any damage will transform the target back into its normal form.  Only one target can be polymorphed at a time.  Only works on Beasts, Humanoids and Critters.	Cannot attack or cast spells.  Increased regeneration.	变形术	等级 1	将敌人变成一只羊，使其到处游荡，最多持续$d。在游荡期间，羊无法攻击或施法，但生命值恢复速度非常快。任何伤害都会使目标恢复原状。一次只能对一个目标使用变形术。只对野兽、人型生物和小动物有效。	无法攻击或施法。生命恢复速度提高。	
120	spellbook	6	Cone of Cold	Rank 1	Targets in a cone in front of the caster take $s2 Frost damage and are slowed by $s1% for $d.	Movement slowed by $s1%.	冰锥术	等级 1	施法者前方锥形区域内的目标受到$s2点冰霜伤害，且移动速度降低$s1%，持续$d。	移动速度降低$s1%。	
122	spellbook	6	Frost Nova	Rank 1	Blasts enemies near the caster for $s1 Frost damage and freezes them in place for up to $d.  Damage caused may interrupt the effect.	Frozen in place.	霜冻新星	等级 1	冲击施法者附近的敌人，造成$s1点冰霜伤害，并将其冻结在原地，最多持续$d。受到的伤害可能会中断该效果。	被冻结在原地。	
126	spellbook	354	Eye of Kilrogg	Summon	Summons an Eye of Kilrogg and binds your vision to it.  The eye moves quickly but is very fragile.	Controlling Eye of Kilrogg.	基尔罗格之眼	召唤	召唤一个基尔罗格之眼，并将你的视线与之绑定。这只眼睛移动速度很快，但非常脆弱。	控制基尔罗格之眼。	
130	spellbook	237	Slow Fall		Slows friendly party or raid target's falling speed for $d.	Slows falling speed.	缓落术		使友方小队或团队目标的坠落速度降低，持续$d。	坠落速度降低。	
131	spellbook	373	Water Breathing		Allows the target to breathe underwater for $d.	Waterbreathing.	水下呼吸		使目标能够在水下呼吸，持续$d。	水下呼吸。	
132	spellbook	354	Detect Invisibility		Allows the friendly target to detect lesser invisibility for $d.	Detect lesser invisibility.	检测隐形		使友方目标能够检测到次级隐形，持续$d。	检测次级隐形。	
133	spellbook	8	Fireball	Rank 1	Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.	$s2 Fire damage every $t2 seconds.	火球术	等级 1	投掷一个火球，造成$s1点火焰伤害，并在$d内额外造成$o2点火焰伤害。	每$t2秒造成$s2点火焰伤害。	
136	spellbook	50	Mend Pet	Rank 1	Heals your pet for $o1 health over $d.	Heals $s1 every $t1 sec.	治疗宠物	等级 1	在$d内为你的宠物恢复$o1点生命值。	每$t1秒恢复$s1点生命值。	
139	spellbook	56	Renew	Rank 1	Heals the target for $o1 over $d.	Healing $s1 damage every $t1 seconds.	恢复	等级 1	在$d内为目标恢复$o1点生命值。	每$t1秒恢复$s1点生命值。	
143	spellbook	8	Fireball	Rank 2	Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.	$s2 Fire damage every $t2 seconds.	火球术	等级 2	投掷一个火球，造成$s1点火焰伤害，并在$d内额外造成$o2点火焰伤害。	每$t2秒造成$s2点火焰伤害。	
145	spellbook	8	Fireball	Rank 3	Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.	$s2 Fire damage every $t2 seconds.	火球术	等级 3	投掷一个火球，造成$s1点火焰伤害，并在$d内额外造成$o2点火焰伤害。	每$t2秒造成$s2点火焰伤害。	
168	spellbook	6	Frost Armor	Rank 1	Increases Armor by $s1.  If an enemy strikes the caster, they may have their movement slowed by $6136s1% and the time between their attacks increased by $6136s2% for $6136d.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $d.	Increases Armor by $s1 and may slow attackers.	霜甲术	等级 1	使护甲值提高$s1点。如果敌人击中施法者，其移动速度可能会降低$6136s1%，攻击间隔提高$6136s2%，持续$6136d。法师在任何时候都只能激活一种护甲法术。持续$d。	使护甲值提高$s1点，并可能减慢攻击者的速度。	
172	spellbook	355	Corruption	Rank 1	Corrupts the target, causing $o1 Shadow damage over $d.	$s1 Shadow damage every $t1 seconds.	腐蚀术	等级 1	腐蚀目标，在$d内造成$o1点暗影伤害。	每$t1秒造成$s1点暗影伤害。	
196	spellbook	44	One-Handed Axes				单手斧				
197	spellbook	172	Two-Handed Axes				双手斧				
198	spellbook	54	One-Handed Maces				单手锤				
199	spellbook	160	Two-Handed Maces				双手锤				
200	spellbook	229	Polearms				长柄武器				
201	spellbook	43	One-Handed Swords				单手剑				
202	spellbook	55	Two-Handed Swords				双手剑				
203	spellbook	162	Unarmed				徒手战斗				
204	spellbook	95	Defense				防御				
205	spellbook	6	Frostbolt	Rank 2	Launches a bolt of frost at the enemy, causing $s2 Frost damage and slowing movement speed by $s1% for $d.	Movement slowed by $s1%.	寒冰箭	等级 2	向敌人发射一枚寒冰箭，造成$s2点冰霜伤害，并使其移动速度降低$s1%，持续$d。	移动速度降低$s1%。	
227	spellbook	136	Staves				法杖				
264	spellbook	45	Bows				弓				
265	spellbook	769	Area Death (TEST)		Kills all enemies in a 30 yard radius.  Cheater.		区域死亡（测试）		杀死30码范围内的所有敌人。作弊者。		
266	spellbook	46	Guns				枪械				
284	spellbook	26	Heroic Strike	Rank 2	A strong attack that increases melee damage by $s1 and causes a high amount of threat.		英勇打击	等级 2	强力的攻击，使近战伤害提高$s1点，并产生大量威胁值。		
285	spellbook	26	Heroic Strike	Rank 3	A strong attack that increases melee damage by $s1 and causes a high amount of threat.		英勇打击	等级 3	强力的攻击，使近战伤害提高$s1点，并产生大量威胁值。		
324	spellbook	373	Lightning Shield	Rank 1	The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26364s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	Causes $26364s1 Nature damage to attacker on hit.	闪电之盾	等级 1	施法者被$n个闪电球环绕。当法术、近战或远程攻击击中施法者时，攻击者将受到$26364s1点自然伤害。这会消耗一个闪电球。每隔几秒只能发射一个闪电球。持续$d。萨满在任何时候只能激活一种元素护盾。	命中时对攻击者造成$26364s1点自然伤害。	
325	spellbook	373	Lightning Shield	Rank 2	The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26365s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	Causes $26365s1 Nature damage to attacker on hit.	闪电之盾	等级 2	施法者被$n个闪电球环绕。当法术、近战或远程攻击击中施法者时，攻击者将受到$26365s1点自然伤害。这会消耗一个闪电球。每隔几秒只能发射一个闪电球。持续$d。萨满在任何时候只能激活一种元素护盾。	命中时对攻击者造成$26365s1点自然伤害。	
331	spellbook	374	Healing Wave	Rank 1	Heals a friendly target for $s1.		治疗波	等级 1	为友方目标恢复$s1点生命值。		
332	spellbook	374	Healing Wave	Rank 2	Heals a friendly target for $s1.		治疗波	等级 2	为友方目标恢复$s1点生命值。		
339	spellbook	574	Entangling Roots	Rank 1	Roots the target in place and causes $o2 Nature damage over $d.  Damage caused may interrupt the effect.  Only useable outdoors.	Rooted.  Causes $s2 Nature damage every $t2 seconds.	纠缠根须	等级 1	将目标锁在原地，在$d内造成$o2点自然伤害。受到的伤害可能会中断该效果。只能在户外使用。	被束缚。每$t2秒造成$s2点自然伤害。	
348	spellbook	593	Immolate	Rank 1	Burns the enemy for $s2 Fire damage and then an additional $o1 Fire damage over $d.	$s1 Fire damage every $t1 seconds.	献祭	等级 1	灼烧敌人，造成$s2点火焰伤害，并在随后的$d内额外造成$o1点火焰伤害。	每$t1秒造成$s1点火焰伤害。	
355	spellbook	257	Taunt		Taunts the target to attack you, but has no effect if the target is already attacking you.		嘲讽		嘲讽目标攻击你，但如果目标已经在攻击你，则没有效果。		
370	spellbook	375	Purge	Rank 1	Purges the enemy target, removing $m1 beneficial magic $leffect:effects;.		净化术	等级 1	净化敌方目标，移除$m1个有益魔法效果。		
379	spellbook	374	Earth Shield		Protects the target with an earthen shield, giving a chance of ignoring spell interruption when damaged and causing attacks to heal the shielded target.  This effect can only occur once every few seconds.  Limited charges. Earth Shield can only be placed on one target at a time and only one Elemental Shield can be active on a target at a time.		大地之盾		以大地之盾保护目标，使其在受到伤害时有一定几率忽略施法中断，并使攻击能够治疗被护盾保护的目标。此效果每隔几秒只能触发一次。次数有限。大地之盾一次只能施放在一个目标身上，且一个目标身上同时只能激活一种元素护盾。		
403	spellbook	375	Lightning Bolt	Rank 1	Casts a bolt of lightning at the target for $s1 Nature damage.		闪电箭	等级 1	向目标发射一束闪电，造成$s1点自然伤害。		
408	spellbook	253	Kidney Shot	Rank 1	Finishing move that stuns the target.  Lasts longer per combo point:\n   1 point  : 1 second\n   2 points: 2 seconds\n   3 points: 3 seconds\n   4 points: 4 seconds\n   5 points: 5 seconds	Stunned.	肾击	等级 1	终结技，使目标昏迷。持续时间随连击点数增加：\n 2点：2秒\n 3点：3秒\n 4点：4秒\n 5点：5秒	昏迷。	
421	spellbook	375	Chain Lightning	Rank 1	Hurls a lightning bolt at the enemy, dealing $s1 Nature damage and then jumping to additional nearby enemies.  Each jump reduces the damage by 30%.  Affects $x1 total targets.		闪电链	等级 1	向敌人投掷一束闪电，造成$s1点自然伤害，然后跳跃攻击附近的敌人。每次跳跃都会使伤害降低30%。总共影响$x1个目标。		
453	spellbook	78	Mind Soothe	Rank 1	Soothes the target, reducing the range at which it will attack you by $s1 yards.  Only affects Humanoid targets level $v or lower.  Lasts $d.	Reduced distance at which target will attack.	安抚心灵	等级 1	安抚目标，使其攻击你的范围缩小$s1码。仅对$v级或以下的人型生物目标有效。持续$d。	缩小了目标会发动攻击的距离。	
458	spellbook	777	Brown Horse		Summons and dismisses a rideable Brown Horse. This mount increases speed depending on your Riding Skill.	Increases speed depending on your Riding Skill.	棕马		召唤并遣散一匹可骑乘的棕马。该坐骑根据你的骑术增加速度。	根据你的骑术增加速度。	
459	spellbook	777	Gray Wolf		Summons and dismisses a rideable gray wolf. This mount increases speed depending on your Riding Skill.	Increases speed depending on your Riding Skill.	灰狼		召唤并遣散一头可骑乘的灰狼。该坐骑根据你的骑术增加速度。	根据你的骑术增加速度。	
465	spellbook	267	Devotion Aura	Rank 1	Gives $s1 additional armor to party and raid members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.	Increases armor by $s1.	虔诚光环	等级 1	使$a1码范围内的队友和团队成员的护护甲值提高$s1点。每个圣骑士在同一时间内只能在玩家身上激活一种光环。	护甲值提高$s1点。	
467	spellbook	574	Thorns	Rank 1	Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.	Causes $s1 Nature damage to attackers.	荆棘术	等级 1	荆棘从友方目标身上长出，在被击中时对攻击者造成$s1点自然伤害。持续$d。	对攻击者造成$s1点自然伤害。	
468	spellbook	777	White Stallion		Summons and dismisses a rideable White Stallion. This mount increases speed depending on your Riding Skill.	Increases speed depending on your Riding Skill.	白马		召唤并遣散一匹可骑乘的白马。该坐骑根据你的骑术增加速度。	根据你的骑术增加速度。	
469	spellbook	256	Commanding Shout	Rank 1	Increases maximum health of all raid and party members within $a1 yards by $s1. Lasts $d.	Maximum health increased by $s1.	命令怒吼	等级 1	使$a1码范围内的所有小队和团队成员的最大生命值提高$s1点。持续$d。	最大生命值提高$s1点。	
